byte	count
0x00	120147
0x01	23268
0x02	11769
0x03	17214
0x04	9948
0x05	8167
0x06	6897
0x07	6361
0x08	5671
0x09	6061
0x0A	4890
0x0B	3687
0x0C	5128
0x0D	3524
0x0E	6691
0x0F	7773
0x10	6471
0x11	9703
0x12	5895
0x13	8005
0x14	4515
0x15	3124
0x16	3260
0x17	2654
0x18	3792
0x19	9356
0x1A	10173
0x1B	2497
0x1C	3123
0x1D	2545
0x1E	7725
0x1F	4306
0x20	5839
0x21	18566
0x22	5245
0x23	19637
0x24	2585
0x25	2022
0x26	5013
0x27	1839
0x28	4849
0x29	8057
0x2A	4240
0x2B	1868
0x2C	1771
0x2D	1338
0x2E	4342
0x2F	2075
0x30	3272
0x31	1868
0x32	1658
0x33	1731
0x34	1951
0x35	1261
0x36	19379
0x37	3418
0x38	8399
0x39	2243
0x3A	2169
0x3B	1608
0x3C	3494
0x3D	2838
0x3E	8532
0x3F	3674
0x40	6378
0x41	3194
0x42	2524
0x43	2036
0x44	5285
0x45	1708
0x46	3966
0x47	2364
0x48	2370
0x49	2080
0x4A	1494
0x4B	2207
0x4C	1825
0x4D	3950
0x4E	3676
0x4F	3485
0x50	3858
0x51	1968
0x52	1556
0x53	1709
0x54	3033
0x55	1867
0x56	2690
0x57	2123
0x58	1768
0x59	2062
0x5A	1840
0x5B	1567
0x5C	2032
0x5D	2982
0x5E	4059
0x5F	3816
0x60	4285
0x61	2173
0x62	2206
0x63	1847
0x64	2051
0x65	1732
0x66	2553
0x67	2779
0x68	4021
0x69	2552
0x6A	1603
0x6B	2007
0x6C	1978
0x6D	1728
0x6E	4232
0x6F	3498
0x70	3101
0x71	2409
0x72	2154
0x73	2642
0x74	2133
0x75	1885
0x76	2267
0x77	4390
0x78	2507
0x79	2565
0x7A	2008
0x7B	2869
0x7C	2920
0x7D	2688
0x7E	8122
0x7F	4069
0x80	5909
0x81	2367
0x82	1486
0x83	1693
0x84	1392
0x85	1235
0x86	1271
0x87	2121
0x88	1806
0x89	1329
0x8A	1101
0x8B	1143
0x8C	1219
0x8D	1036
0x8E	1300
0x8F	1735
0x90	2110
0x91	1305
0x92	1016
0x93	1653
0x94	1174
0x95	2809
0x96	1048
0x97	1021
0x98	2356
0x99	1193
0x9A	1074
0x9B	1129
0x9C	1559
0x9D	1151
0x9E	1301
0x9F	1537
0xA0	3257
0xA1	1341
0xA2	3055
0xA3	1042
0xA4	981
0xA5	994
0xA6	938
0xA7	1067
0xA8	1276
0xA9	1413
0xAA	1014
0xAB	1193
0xAC	1106
0xAD	868
0xAE	1159
0xAF	4130
0xB0	2178
0xB1	1628
0xB2	1555
0xB3	1530
0xB4	1388
0xB5	985
0xB6	1531
0xB7	4565
0xB8	1751
0xB9	1285
0xBA	1424
0xBB	1489
0xBC	1694
0xBD	1435
0xBE	1665
0xBF	2290
0xC0	4471
0xC1	7864
0xC2	14706
0xC3	9180
0xC4	1785
0xC5	4694
0xC6	1971
0xC7	4234
0xC8	2900
0xC9	6537
0xCA	4855
0xCB	2106
0xCC	1319
0xCD	32908
0xCE	1522
0xCF	2134
0xD0	1729
0xD1	7424
0xD2	2485
0xD3	1210
0xD4	1075
0xD5	7160
0xD6	1297
0xD7	2941
0xD8	3375
0xD9	1338
0xDA	1670
0xDB	1158
0xDC	1663
0xDD	1881
0xDE	2498
0xDF	2122
0xE0	4136
0xE1	7883
0xE2	1703
0xE3	1362
0xE4	1439
0xE5	10319
0xE6	4667
0xE7	1905
0xE8	2194
0xE9	1130
0xEA	3948
0xEB	1319
0xEC	1356
0xED	929
0xEE	1721
0xEF	1736
0xF0	3992
0xF1	3942
0xF2	1441
0xF3	1331
0xF4	2147
0xF5	4189
0xF6	1611
0xF7	2005
0xF8	19106
0xF9	1467
0xFA	5885
0xFB	2282
0xFC	4523
0xFD	1976
0xFE	10376
0xFF	16971
